RID	0(b=-0.0946)	Support	Rule
(-1, 39)	0.0156	0.0750	petal width (cm) > 1.972 & sepal length (cm) <= 6.521
(-1, 59)	0.1294	0.8583	sepal width (cm) > 2.872 | sepal length (cm) <= 5.747 | petal length (cm) <= 4.221
(-1, 82)	-0.1514	0.9667	sepal length (cm) > 5.374 | petal length (cm) > 5.466 | petal width (cm) > 0.114 | sepal width (cm) <= 2.872
(-1, 29)	0.0030	0.4250	sepal length (cm) > 5.374 & petal length (cm) > 2.514 & sepal width (cm) <= 3.703 & petal length (cm) <= 5.450
(-1, 91)	0.0290	0.8417	sepal width (cm) > 3.209 | petal length (cm) <= 5.450
(-1, 42)	0.1422	0.2500	sepal width (cm) > 2.872 & sepal length (cm) <= 5.374 & petal length (cm) <= 2.514
(-1, 49)	0.1405	0.3083	sepal width (cm) > 2.872 & sepal length (cm) <= 5.747 & petal width (cm) <= 0.844
(-1, 68)	0.0254	0.8333	sepal width (cm) > 2.872 | petal length (cm) <= 4.367 | petal width (cm) <= 0.102
(-1, 7)	-0.1103	0.3583	sepal length (cm) > 5.374 & petal width (cm) > 0.844 & petal length (cm) <= 5.466 & petal width (cm) <= 1.972
(-1, 80)	0.1310	0.3667	sepal length (cm) <= 5.374 | petal width (cm) <= 0.844
(-1, 5)	0.0529	0.5000	petal length (cm) > 4.367
(-1, 12)	0.0174	0.2000	sepal width (cm) > 2.633 & petal width (cm) > 1.972
(-1, 0)	-0.1274	0.2750	petal length (cm) > 4.367 & petal width (cm) > 0.844 & sepal length (cm) <= 6.521 & sepal width (cm) <= 3.703 & petal width (cm) <= 2.434
(-1, 13)	0.0838	0.5000	petal length (cm) <= 4.367 & petal width (cm) <= 1.972
(-1, 14)	0.0907	0.3167	sepal width (cm) > 2.872 & sepal length (cm) <= 6.275 & petal length (cm) <= 2.514 & petal width (cm) <= 2.434
(-1, 77)	-0.0099	0.8500	petal length (cm) <= 5.450 | petal width (cm) <= 1.972
(-1, 36)	-0.0512	0.2167	petal length (cm) > 4.367 & petal width (cm) > 1.972
(-1, 10)	-0.1236	0.3500	sepal length (cm) > 6.275 & petal length (cm) > 2.514 & petal width (cm) > 0.844 & sepal width (cm) <= 3.507
(-1, 27)	-0.0865	0.4750	sepal length (cm) > 5.747 & petal length (cm) > 4.221 & petal width (cm) > 0.114
(-1, 48)	-0.1207	0.6750	petal length (cm) > 2.514 & petal width (cm) > 0.844
(-1, 30)	-0.0395	0.3000	sepal length (cm) > 5.747 & petal width (cm) > 0.114 & sepal width (cm) <= 3.703 & petal length (cm) <= 5.450
(-1, 20)	0.0864	0.3667	sepal width (cm) > 2.872 & sepal length (cm) <= 6.521 & petal length (cm) <= 4.367 & petal width (cm) <= 1.972
(-1, 99)	-0.1162	0.9667	sepal length (cm) > 6.521 | petal length (cm) > 5.466 | petal width (cm) > 0.102 | sepal width (cm) <= 2.872
(-1, 25)	0.1156	0.2583	sepal length (cm) <= 5.374 & petal width (cm) <= 0.844
(-1, 16)	0.1148	0.0583	sepal width (cm) > 3.703 & sepal length (cm) <= 6.275 & petal width (cm) <= 0.844
(-1, 38)	0.1129	0.3250	petal length (cm) <= 2.514 & petal width (cm) <= 0.844
(-1, 6)	0.0670	0.0583	sepal width (cm) > 3.703 & sepal length (cm) <= 6.521
(-1, 3)	0.0531	0.1500	petal length (cm) > 5.466 & petal width (cm) > 1.972
(-1, 95)	0.0006	0.7917	petal length (cm) <= 5.450
(-1, 4)	0.0093	0.0583	sepal width (cm) > 3.703 & sepal length (cm) <= 6.521 & petal length (cm) <= 4.221 & petal width (cm) <= 0.844
(-1, 79)	0.1016	0.1417	sepal width (cm) > 3.507 | petal width (cm) <= 0.114
(-1, 98)	-0.1008	0.7417	sepal length (cm) > 5.374 | petal length (cm) > 2.514
(-1, 34)	0.0250	0.4167	sepal length (cm) > 5.747 & sepal width (cm) > 2.633 & petal length (cm) > 4.221
(-1, 93)	-0.0829	0.1667	sepal width (cm) <= 2.633
