RID	0(b=-0.0946)	1(b=-0.0369)	2(b=-0.0543)	Support	Rule
(-1, 18)	0.0692	-0.0281	0.0083	0.0500	sepal width (cm) > 3.703 & sepal length (cm) <= 5.747 & petal length (cm) <= 4.221
(-1, 43)	-0.0682	0.0585	-0.0395	0.0167	petal width (cm) > 2.434 & sepal width (cm) <= 3.703
(-1, 41)	-0.0417	0.0621	0.0107	0.3750	sepal length (cm) > 6.280 & petal width (cm) > 0.114
(-1, 101)	0.0618	0.0346	-0.0244	0.5667	sepal width (cm) > 3.209 | sepal length (cm) <= 5.747 | petal width (cm) <= 0.114
(-1, 35)	-0.0581	-0.0519	0.0459	0.5167	sepal length (cm) > 5.747
(-1, 22)	0.0095	-0.0334	-0.0569	0.3500	sepal width (cm) > 2.872 & sepal length (cm) <= 5.747
(-1, 32)	-0.0170	-0.0550	0.0087	0.5083	petal length (cm) > 4.221
(-1, 24)	-0.0155	0.0535	0.0387	0.7000	petal width (cm) > 0.102 & sepal width (cm) <= 3.209
(-1, 33)	0.0267	-0.0410	-0.0455	0.2083	sepal width (cm) > 3.209 & sepal length (cm) <= 6.280 & petal length (cm) <= 5.466 & petal width (cm) <= 1.972
(-1, 64)	0.0019	0.0056	0.0059	0.5917	sepal length (cm) > 6.521 | sepal width (cm) > 3.507 | petal length (cm) > 4.367
############################################################
